<<<<<<< HEAD
Jairo Quilumbaquin;1727751420;jairo@gmail.com;993809393;Quito;21;1234564
luis castillo;1727751420;luis@gmail.com;993809393;Quito;21;123456
Jairo Quilumbaquin;123456789;jairo@gmail.com;993809393;Quito;21;123456
asdas;123;123;1234;Quito;123;123
luis;123;12345;993809393;123;12;123
Juan,16222,juan@fma,9922,quito,18,12122
juan;1223;francisco;2322112;san;12;1223
Juan;123232;juanca@awa;1221322;pedrito;19;
=======
Jairo Quilumbaquin;1727751420;jairo@gmail.com;993809393;jairo@gmail.com;21;123456
Luis;1785456;luis@gmail.com;993809393;Quito;21;123456
Paco;1786;paco@gmail.com;993809393;Carcelen;21;12456
>>>>>>> e48fba08b4b91758408df955840f0a93bff8677a
